zip,county
00617,72054
00616,72013
00624,72111
00652,72013
00660,72067
00670,72083
00669,72081
00683,72097
00704,72123
00719,72127
00728,72113
00729,72029
00730,72113
00735,72037
00739,72041
00745,72029
00766,72149
00772,72087
23113,51041
00794,72019
00921,72021
00919,72127
00920,72127
00969,72127
00957,72021
00976,72127
01022,25013
01057,25013
01035,25015
01030,25013
01108,25013
23294,51087
01090,25013
01301,25011
01258,25003
01225,25003
01226,25003
01430,25027
01368,25027
01340,25011
01475,25027
01721,25017
01778,25017
01821,25017
01851,25017
01844,25009
01842,25009
01862,25017
01852,25017
01938,25009
01931,25009
01945,25009
01965,25009
02026,25021
02054,25021
02111,25025
02081,25021
02126,25025
02134,25025
02143,25017
02150,25025
02170,25021
02186,25021
02191,25021
02305,25023
02347,25023
02339,25023
02368,25021
02476,25017
02467,25021
02532,25023
02638,25001
02667,25001
02646,25001
02703,25005
02717,25005
02673,25001
02746,25005
02766,25005
02840,44005
02838,44007
02832,44009
02858,44007
02842,44005
02863,44007
02883,44009
02895,44007
02907,44007
02898,44009
02914,44007
03038,33015
03054,33011
03084,33011
03223,33009
03221,33013
03108,33011
03268,33013
03235,33013
03243,33013
03287,33013
03279,33009
03576,33007
03581,33007
03580,33009
03470,33005
03464,33005
03451,33005
03442,33011
03447,33005
03774,33009
03745,33019
03605,33019
03592,33007
03801,33015
03851,33017
03841,33015
03870,33015
03867,33017
03864,33003
04005,23031
03905,23031
03901,23031
04021,23005
04017,23005
04071,23005
04093,23031
04224,23017
04256,23001
04260,23005
04252,23001
04476,23009
04462,23019
04434,23019
04443,23021
04449,23019
04427,23019
04428,23019
04606,23029
04607,23009
04746,23003
04685,23009
04694,23029
04652,23029
04614,23009
04864,23013
04958,23025
04951,23027
04943,23025
04947,23007
04930,23019
05035,50027
05001,50027
05032,50017
04976,23025
04985,23025
04965,23025
05148,50003
05051,50017
05201,50003
05161,50027
05402,50007
05401,50007
05464,50011
05459,50011
05658,50023
05468,50007
05602,50023
05679,50017
05682,50023
05674,50023
05669,50023
05853,50019
05833,50019
05775,50021
06010,09003
06013,09003
05904,50009
05860,50019
05872,50019
06037,09003
06039,09005
06040,09003
06033,09003
06062,09003
06074,09003
06095,09003
06106,09003
06234,09015
06320,09011
06250,09013
06340,09011
06371,09011
06375,09011
06418,09009
06415,09007
06410,09009
06457,09007
06447,09003
06443,09009
06424,09007
06461,09009
06484,09001
06488,09009
06480,09007
06481,09007
06513,09009
06517,09009
06520,09009
06759,09005
06756,09005
06798,09005
06791,09005
06793,09005
06906,09001
06850,09001
06840,09001
07023,34039
07081,34039
07071,34003
07058,34027
07051,34013
07104,34013
07450,34003
07438,34027
07435,34031
07424,34031
07088,34039
07090,34039
07401,34003
07405,34027
07310,34017
07303,34017
07107,34013
07503,34031
07645,34003
07641,34003
07463,34003
07462,34037
07726,34025
07722,34025
07723,34025
07675,34003
07657,34003
07662,34003
07801,34027
07866,34027
07865,34041
08021,34007
08022,34005
08028,34015
07746,34025
07750,34025
08008,34029
08005,34029
07974,34039
07961,34027
07920,34035
07834,34027
07852,34027
08048,34005
08077,34005
08078,34007
08247,34009
08036,34005
08037,34007
08201,34001
08094,34015
08056,34015
08062,34015
08063,34015
08069,34033
08360,34001
08343,34015
08344,34033
08350,34001
08533,34029
08750,34025
08754,34029
08302,34011
08270,34009
08732,34029
08730,34025
25309,54039
08721,34029
08648,34021
08611,34021
08404,34001
08501,34025
08514,34029
08823,34035
08812,34023
08844,34035
26330,54033
25701,54011
26807,54071
28445,37133
28147,37159
28327,37125
27713,37063
28269,37119
28105,37119
08888,34019
08869,34035
08829,34019
30032,13089
30005,13121
30038,13089
30067,13067
30107,13057
30114,13057
30113,13143
30055,13217
30054,13297
30083,13089
30087,13089
30121,13015
30133,13097
30179,13045
30179,13223
30182,13045
29845,45065
29860,45037
30170,13045
30177,13227
30178,13015
30157,13223
