zip,county
00683,72125
00683,72079
00683,72023
00683,72097
00683,72121
00923,72127
01010,25013
01010,25027
01257,25003
01267,25003
01331,25011
01331,25027
01339,25015
01339,25011
01469,25017
02027,25021
02120,25025
02128,25025
02199,25025
02361,25023
02664,25001
02668,25001
02648,25001
02739,25023
02895,44007
03281,33011
03281,33013
03743,33019
03592,33007
03605,33019
03886,33003
03884,33017
03884,33015
04357,23023
04357,23011
04649,23029
04627,23009
04562,23023
04921,23027
04921,23019
04548,23023
05038,50017
05474,50013
05679,50017
05651,50023
05763,50021
05738,50021
05874,50019
06042,09013
06042,09003
06052,09003
06010,09005
06010,09003
05905,50009
06060,09003
06078,09003
06108,09003
06468,09001
06787,09005
06880,09001
06907,09001
07010,34003
07110,34031
07110,34013
07462,34037
07645,34003
07607,34003
07758,34025
07849,34027
07849,34037
08046,34005
08099,34007
08401,34001
08559,34019
08820,34023
08820,34039
08880,34035
10005,36061
10004,36061
10038,36061
10110,36061
11210,36047
11354,36081
11358,36081
11352,36081
11375,36081
11553,36059
11716,36103
11756,36059
11950,36103
10537,36119
10537,36079
10595,36119
10916,36071
10952,36087
12037,36021
12180,36083
12139,36041
12086,36057
12086,36035
12086,36091
12115,36021
12066,36093
12066,36057
12066,36095
12205,36001
12474,36025
12786,36105
12845,36113
12832,36115
12944,36031
12944,36019
12989,36033
12989,36031
13478,36065
13761,36007
14086,36029
14212,36029
14560,36069
14560,36051
14513,36069
14513,36117
14616,36055
14621,36055
14903,36015
15076,42003
15139,42003
15222,42003
15225,42003
15214,42003
15442,42051
15344,42059
15563,42111
15642,42003
15642,42129
15771,42063
15681,42063
15681,42129
15681,42005
15943,42021
16120,42073
16120,42007
16115,42007
16827,42027
17024,42099
17020,42043
17020,42099
17065,42041
17201,42055
17560,42071
17569,42011
17569,42071
17702,42081
17845,42119
17961,42107
18072,42095
18070,42011
18070,42091
18902,42017
18912,42017
19061,42045
19138,42101
19153,42101
19153,42045
19150,42091
19150,42101
19440,42017
19440,42091
19938,10001
19938,10003
20019,11001
20693,24017
20676,24009
20764,24003
20818,24031
21044,24027
21050,24025
21218,24510
21403,24003
21555,24001
21797,24013
21797,24031
21797,24027
21784,24027
21784,24013
21801,24045
22015,51059
22313,51510
22307,51059
22432,51133
22727,51113
22812,51165
22812,51015
22824,51171
22830,51165
22974,51065
22974,51109
22974,51003
22959,51003
23607,51650
23607,51700
23701,51740
23666,51700
23666,51650
23936,51029
23936,51049
24013,51770
23976,51037
24104,51019
24245,51169
24314,51185
24314,51021
24505,51680
24651,51185
24715,54055
27292,37057
27292,37151
27529,37101
27529,37183
27532,37191
27824,37095
27832,37131
27801,37127
27801,37065
27882,37069
27882,37127
27870,37083
28082,37025
28133,37007
28133,37179
28164,37109
28164,37071
28282,37119
28311,37051
28343,37165
28728,37021
28693,37009
28650,37035
28650,37109
28432,37047
28420,37019
28777,37121
28777,37199
28777,37011
28777,37111
28786,37087
28746,37161
28746,37149
28745,37087
29133,45075
29105,45081
29105,45003
29620,45065
29620,45001
29845,45037
29845,45065
29565,45067
29565,45069
29565,45033
29530,45041
29547,45033
29580,45089
29403,45019
29372,45087
29372,45021
29372,45083
29437,45035
29223,45079
29210,45063
29210,45079
29325,45059
29168,45085
29481,45029
29481,45009
29456,45035
29456,45019
29456,45015
29453,45015
29453,45019
29935,45013
29918,45049
29924,45049
30185,13045
30185,13097
30309,13121
30312,13121
30132,13223
30132,13015
30035,13089
30223,13151
30223,13255
30223,13035
30228,13151
30228,13063
30228,13255
30703,13129
30635,13147
30635,13105
30630,13221
30521,13011
30521,13119
30411,13175
30411,13309
32046,12089
39846,13243
39846,13061
39846,13037
39866,13037
39866,13243
31823,13145
31699,13185
31703,13095
31791,13321
31791,13095
31744,13321
31744,13071
31744,13205
32209,12031
32505,12033
34482,12083
33037,12087
32778,12069
32792,12095
32792,12117
32643,12001
32643,12023
32643,12041
32563,12113
32539,12091
32539,12131
33015,12086
34949,12111
33193,12086
33140,12086
33144,12086
33146,12086
33238,12086
33610,12057
33635,12057
32968,12061
32931,12009
33556,12057
33556,12101
33543,12101
35049,01009
35042,01007
35042,01105
35063,01127
35063,01073
35063,01009
34292,12115
34112,12021
33993,12071
33973,12071
35097,01009
35801,01089
36037,01041
36037,01013
36066,01051
36066,01001
36016,01005
36016,01067
35640,01103
35645,01077
35621,01103
35621,01043
35740,01071
35406,01125
35960,01019
35963,01049
35554,01093
35554,01127
35554,01057
35548,01093
36108,01101
36250,01015
38632,28033
38632,28137
38856,28117
38856,28057
36861,01123
36475,01099
36475,01035
36475,01053
36502,01035
36502,01053
36502,01099
36502,01003
38778,28133
36551,01003
36611,01097
39152,28129
39152,28123
39159,28125
39159,28055
39661,28063
39661,28001
39661,28037
39555,28059
39465,28067
39465,28111
39465,28035
37190,47015
37190,47177
37804,47009
37841,47151
37829,47129
38006,47075
38006,47113
38006,47033
37338,47153
37338,47143
37338,47065
37338,47007
37313,47061
37320,47011
37310,47139
37310,47011
37882,47009
37414,47065
37618,47163
25520,54011
25520,54053
25438,54037
26148,54085
24739,54055
24860,54109
24870,54109
25260,54053
25235,54015
25235,54013
38358,47017
38358,47053
38463,47181
38463,47099
25601,54045
25529,54043
25529,54005
38559,47175
38559,47185
26610,54101
26610,54007
26610,54067
41004,21201
41004,21023
40927,21095
40856,21013
40862,21133
42025,21035
42025,21083
42025,21157
41826,21133
41723,21193
41723,21131
40507,21067
40040,21229
40152,21027
40342,21211
40342,21167
40342,21215
40342,21229
40342,21073
40342,21005
40291,21111
40390,21239
40390,21113
40359,21041
40359,21187
42217,21047
44142,39035
44231,39155
44231,39055
44231,39133
43430,39123
43430,39143
43430,39173
43504,39095
43504,39051
42372,21177
42372,21149
42629,21207
43619,39095
43619,39173
44276,39169
44699,39067
44699,39157
44699,39059
43030,39089
44507,39099
43113,39129
43113,39045
43140,39097
43140,39049
43140,39023
45224,39061
45415,39113
45601,39079
45601,39131
45601,39141
45202,39061
45118,39025
45118,39071
45118,39015
43205,39049
43844,39031
43844,39083
45053,39017
45619,39087
46311,18089
46327,18089
46565,18039
46565,18087
46574,18099
46574,18149
46574,18091
46574,18141
46037,18097
46037,18057
46405,18089
46214,18097
46176,18145
46176,18139
46224,18097
46180,18063
46180,18109
46776,18087
46776,18151
47613,18163
47613,18051
47613,18173
47575,18037
48030,26125
47424,18119
47424,18055
47558,18027
47167,18175
46962,18183
46962,18169
46962,18085
46975,18049
46975,18085
46975,18103
46975,18099
47020,18155
46988,18017
46988,18049
47987,18045
47340,18135
49221,26091
49254,26075
49241,26075
49241,26059
49229,26161
49229,26115
49229,26091
48301,26125
48169,26093
48169,26161
48152,26163
48206,26163
48226,26163
48729,26157
48729,26151
48901,26065
49037,26077
49037,26025
49057,26159
49098,26021
49098,26159
49024,26077
49349,26123
50139,19117
50139,19125
50139,19181
50169,19153
50169,19099
50211,19121
50211,19181
50247,19169
50247,19127
50229,19181
50229,19121
50276,19049
50276,19015
49950,26083
50013,19169
49615,26009
49623,26085
49686,26055
49456,26121
49456,26139
49802,26043
49718,26047
49718,26031
51063,19133
51063,19193
51503,19129
51503,19155
51044,19193
51005,19021
51005,19035
57334,46035
57334,46067
57334,46061
57626,46093
57626,46105
57532,46085
57532,46117
52340,19103
52247,19183
52247,19103
57101,46099
51579,19085
52073,19061
52073,19043
57752,46113
57790,46103
57764,46113
57783,46019
57783,46081
68070,31155
68938,31129
68938,31035
68978,31129
68869,31079
68869,31163
68869,31019
69201,31031
69340,31161
69340,31069
68430,31109
68465,31109
68465,31151
68465,31067
53144,55059
53144,55101
68718,31027
68718,31107
68776,31043
68527,31025
68527,31109
53503,55049
54480,55119
54480,55073
54895,55107
54854,55031
54403,55073
53719,55025
53925,55025
53925,55021
53925,55027
53933,55027
53563,55055
53563,55105
53565,55065
53565,55049
54025,55109
54025,55095
54909,55137
54909,55097
55811,27137
55732,27137
55765,27137
55345,27053
55374,27171
55374,27053
55115,27163
55055,27163
55047,27163
55448,27003
55322,27019
55330,27141
55330,27171
55330,27003
55985,27049
55985,27039
55985,27147
56048,27013
56048,27161
58533,38037
58416,38039
58634,38053
58634,38007
58352,38019
58352,38095
58274,38097
58274,38091
56377,27145
56377,27009
56368,27145
56319,27153
56319,27041
56449,27035
56449,27097
56327,27041
56327,27121
56183,27101
56183,27033
56150,27063
58746,38013
58746,38075
58746,38061
58746,38101
58831,38053
60423,17031
60423,17197
56529,27027
56482,27153
56482,27159
56482,27111
56587,27111
61704,17113
61754,17107
61754,17039
61754,17113
62034,17119
62047,17013
62203,17163
61545,17203
61606,17143
61564,17179
61472,17131
61472,17095
60935,17197
60935,17091
61244,17161
60931,17075
61840,17019
61840,17053
61853,17147
61853,17019
61413,17095
61413,17131
61413,17073
61283,17195
61283,17073
61283,17011
61434,17073
61434,17175
61434,17095
62269,17163
62269,17119
62353,17009
60133,17031
60133,17043
60008,17031
62832,17145
62832,17077
62836,17081
62836,17055
62476,17159
62476,17047
62476,17185
62601,17137
62621,17137
62621,17171
62859,17065
62924,17199
62924,17077
62941,17127
62941,17153
62917,17199
62917,17165
62933,17199
60163,17031
61010,17141
61038,17111
61038,17007
61014,17195
61014,17015
63090,29071
63118,29510
63060,29071
63060,29221
60656,17031
63136,29510
63136,29189
63303,29183
64118,29165
64118,29047
64148,29095
64076,29101
64076,29107
64062,29025
64062,29177
64062,29049
64062,29047
64109,29095
63703,29031
63351,29139
63351,29219
63434,29205
64503,29021
64501,29021
64631,29121
64631,29115
64643,29033
64643,29117
64437,29087
64437,29005
64442,29081
64163,29165
64640,29061
64661,29129
63830,29155
63873,29143
63873,29155
65043,29027
65037,29029
65037,29141
66061,20091
66101,20209
66047,20045
